Date      = Sat Apr 23 23:40:39 EDT 2022
host      = c0909a-s35
Directory = /blue/ctolerfranklin/michaelperez012/videogan-pytorch
Model restored
Epoch 9/10 | Iter 83/30188 | D 1.5927e-02 | G 6.9043e+00 | Real 0.97 | Fake 0.00
Epoch 9/10 | Iter 84/30188 | D 5.8647e-02 | G 4.4943e+00 | Real 0.91 | Fake 0.00
Epoch 9/10 | Iter 85/30188 | D 2.9063e-03 | G 3.9661e+00 | Real 1.00 | Fake 0.01
Epoch 9/10 | Iter 86/30188 | D 2.2776e-02 | G 5.4561e+00 | Real 1.00 | Fake 0.04
Epoch 9/10 | Iter 87/30188 | D 2.2412e-02 | G 6.4720e+00 | Real 1.00 | Fake 0.04
Epoch 9/10 | Iter 88/30188 | D 3.1779e-03 | G 8.0850e+00 | Real 1.00 | Fake 0.01
Epoch 9/10 | Iter 89/30188 | D 1.1962e-01 | G 9.7372e+00 | Real 1.00 | Fake 0.18
Epoch 9/10 | Iter 90/30188 | D 7.0729e-02 | G 1.0142e+01 | Real 0.93 | Fake 0.01
Epoch 9/10 | Iter 91/30188 | D 4.5395e-03 | G 1.0430e+01 | Real 0.99 | Fake 0.00
Epoch 9/10 | Iter 92/30188 | D 8.6947e-01 | G 1.3137e+00 | Real 0.40 | Fake 0.00
Epoch 9/10 | Iter 93/30188 | D 6.5639e-01 | G 6.6043e+00 | Real 1.00 | Fake 0.59
Epoch 9/10 | Iter 94/30188 | D 1.9303e-03 | G 8.1900e+00 | Real 1.00 | Fake 0.00
Epoch 9/10 | Iter 95/30188 | D 1.0831e-01 | G 7.6800e+00 | Real 0.83 | Fake 0.00
Epoch 9/10 | Iter 96/30188 | D 1.1964e-03 | G 6.4783e+00 | Real 1.00 | Fake 0.00
Epoch 9/10 | Iter 97/30188 | D 3.4934e-02 | G 5.2258e+00 | Real 1.00 | Fake 0.06
Epoch 9/10 | Iter 98/30188 | D 5.4353e-03 | G 6.1565e+00 | Real 1.00 | Fake 0.01
Epoch 9/10 | Iter 99/30188 | D 3.8192e-03 | G 6.7277e+00 | Real 1.00 | Fake 0.01
Epoch 9/10 | Iter 100/30188 | D 3.5914e-02 | G 6.6591e+00 | Real 0.97 | Fake 0.04
Epoch 9/10 | Iter 101/30188 | D 2.6354e-02 | G 7.1284e+00 | Real 0.97 | Fake 0.01
Epoch 9/10 | Iter 102/30188 | D 1.2706e-03 | G 8.2721e+00 | Real 1.00 | Fake 0.00
